name,description
asdf,No documentation
ewf,Expert Witness Disk Image Format.
fortifw,No documentation
hdd,No documentation
hds,No documentation
qcow2,No documentation
raw,No documentation
split,No documentation
vdi,VirtualBox hard disks.
vhd,No documentation
vhdx,No documentation
vmdk,VMware virtual hard disks.
